country,branchId,language,type,name,address,postal_code,tel,fax,latitude,longitude,operatingHours,SMSQ,QCAMURL
Hong Kong,451b,EN,ATM,Head Office,"G/F, The Center, 99 Queen's Road Central, Central, Hong Kong",,,,22.28454,114.15455,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,371b,EN,ATM,Mongkok,"G/F, 728-730 Nathan Road, Mongkok, Kowloon",,,,22.321405,114.16919,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,493b,EN,ATM,Shatin Plaza,"Shop 47 & 48, Level 1, Shatin Plaza, No. 21-27 Sha Tin Centre Street, Shatin, New Territories",,,,22.38351,114.18976,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,197b,EN,ATM,Nathan Road,"G/F, Wofoo Commercial Building, 574-576 Nathan Road, Mongkok, Kowloon",,,,22.3149966,114.1704023,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,227b,EN,ATM,DBS Treasures at Taikoo Shing,"Shop 37, G/F, Cityplaza, 18 Taikoo Shing Road, Taikoo Shing, Hong Kong",,,,22.2861889,114.2168836,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,487b,EN,ATM,Tak Man Street,"G/F, On Fu Building, 16 Tak Man Street, Hunghom, Kowloon",,,,22.306246,114.18748,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,226b,EN,ATM,Mei Foo,"Shops N26A & N26B,  Stage V, Mei Foo Sun Chuen, 10 & 12 Nassau Street, Kowloon",,,,22.338437,114.138805,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,465b,EN,ATM,Manulife Kwun Tong,"Level 1 of Manulife Financial Centre, Nos. 223-231 Wai Yip Street, Kwun Tong, Kowloon",,(852)3668 2690,,22.307869,114.223588,Services:<li>HK/RMB Cash Withdrawal</li>,,
Hong Kong,465b,EN,ATM,Hoi Yuen Road,"Unit 2, G/F, Hewlett Centre, 54 Hoi Yuen Road, Kwun Tong, Kowloon",,,,22.309762,114.22401,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,457b,EN,ATM,Des Voeux Road Central,"B/F, G/F, 1/F, 39-41 Des Voeux Road Central, Central",,,,22.28314,114.157012,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,209b,EN,ATM,Tsuen Wan,"G/F, 23 Chung On Street, Tsuen Wan, New Territories",,,,22.371519,114.11776,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,883b,EN,ATM,Yuen Long,"G/F, 1-5 Tai Tong Road, Yuen Long, New Territories",,,,22.44427,114.02946,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,458b,EN,ATM,Happy Valley,"G/F, 18A-22 King Kwong Street, Happy Valley, Hong Kong",,,,22.26917,114.18487,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,464b,EN,ATM,Kwai Chung,"G/F, 1001 Kwai Chung Road, Kwai Chung, New Territories",,,,22.367203,114.13293,Available During Business Hours:<br />Mon - Fri : 9:00 AM to 5:00 PM<br />Sat : 9:00 AM to 1:00 PM<br />Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,978b,EN,ATM,United Centre,"Shops 1015-1018 on 1/F & Shops 2032-2034 on 2/F, United Centre, 95 Queensway, Admiralty",,,,22.27857,114.16515,Available During Business Hours:<br />Mon - Fri : 9:00 AM to 5:00 PM<br />Sat : 9:00 AM to 1:00 PM<br />Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,989b,EN,ATM,Lok Ma Chau MTR Station,"LMC 314, Arrival Concourse, Unpaid Area, 3/F, Lok Ma Chau MTR Station",,,,22.514464,114.065647,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,979b,EN,ATM,Tai Po,"G/F, 78-80 Po Heung Street, Tai Po, New Territories",,,,22.448058,114.16648,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,884b,EN,ATM,West Point,"G/F, 441 Queen's Road West, West Point, Hong Kong",,,,22.286209,114.13548,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,498b,EN,ATM,Ma On Shan,"Shops 205-206, Level 2, Ma On Shan Plaza, Ma On Shan, New Territories",,,,22.425751,114.23122,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,477b,EN,ATM,Quarry Bay,"Shop A, G/F, 1063 King's Road, Quarry Bay, Hong Kong",,,,22.284834,114.21365,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,987b,EN,ATM,Tuen Mun Town Plaza,"Shop 23, G/F, Tuen Mun Town Plaza (II), 3 Tuen Lung Street, Tuen Mun, New Territories",,,,22.3938,113.976461,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,989b,EN,ATM,Sheung Shui,"G/F, 5 San Tsoi Street, Sheung Shui, New Territories",,,,22.50459,114.127297,Available During Business Hours:<br />Mon - Fri : 9:00 AM to 5:00 PM<br />Sat : 9:00 AM to 1:00 PM<br />Services:<br /><li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,211b,EN,ATM,Aberdeen,"Shops A & B, G/F, On Tai Building, 1-3 Wu Nam Street, Aberdeen, Hong Kong",,,,22.247795,114.15554,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,226b,EN,ATM,Kowloon Tong MTR station,"Exit G1, Platform Level, East Rail Line, MTR Kowloon Tong Station",,(852)3668 2690,,22.337074,114.176024,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,988b,EN,ATM,DBS Treasures at Queen's Road East,"Shop A, G/F, Jonsim Place, 228 Queen's Road East, Wanchai, Hong Kong",,,,22.274704,114.172976,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,373b,EN,ATM,DBS Treasures at Causeway Bay,"G/F, 12-14 Yee Wo Street, Causeway Bay, Hong Kong",,,,22.2799153,114.1850268,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,454b,EN,ATM,Hennessy Road,"427-429 Hennessy Road, Causeway Bay, Hong Kong",,,,22.27957,114.18097,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,991b,EN,ATM,Tsimshatsui,"G/F â€“ 1/F, Manson House, 74-78 Nathan Road, Tsimshatsui",,,,22.298315,114.172273,Services:<ul><li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li></ul>,,
Hong Kong,987b,EN,ATM,V City,"MTR Level, V City, 83 Tuen Mun Heung Sze Wui Road, Tuen Mun, New Territories",,,,22.3953946,113.97390559999997,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,881b,EN,ATM,North Point,"G/F, 391 King's Road, North Point, Hong Kong",,,,22.290999,114.1987,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,461b,EN,ATM,Yaumatei,"G/F & 1/F, 131-137 Woosung Street, Yaumatei",,,,22.305082,114.17003,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,375b,EN,ATM,DBS Treasures at Festival Walk,"Shop LG2-27, Lower Ground Two Floor, Festival Walk, Kowloon Tong",,(852)3668 2730,,22.337548,114.174573,Available During Business Hours:<br />Mon - Fri : 9:00 AM to 5:00 PM<br />Sat : 9:00 AM to 1:00 PM<br />Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,475b,EN,ATM,Amoy Plaza,"Shops G193-195, Amoy Plaza, 77 Ngau Tau Kok Road, Ngau Tau Kok, Kowloon",,,,22.324658,114.21555,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,,EN,ATM,Tsimshatsui MTR,"ATM Site TST ATM 4, Concourse Level, MTR Tsim Sha Tsui Station",,,,22.297604,114.17217499999992,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,,EN,ATM,Kowloon Bay,"Shop 6, G/F, Chevalier Commercial Centre, 8 Wang Hoi Road, Kowloon Bay, Kowloon",,,,22.3213725,114.21128550000003,Services:<li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li>,,
Hong Kong,465b,EN,ATM,Manulife Tower,"Level 1, One Bay East, 83 Hoi Bun Road, Kwun Tong, Kowloon",,(852)3668 2690,,22.3159461,114.2144372,Services:<ul><li>HK/RMB Cash Withdrawal</li></ul>,,
Hong Kong,,EN,ATM,DBS Treasures at Kowloon,"701 Nathan Road, Mongkok",,,,22.32015,114.169006,<span>Services:</span><ul><li>HK/RMB Cash Withdrawal</li><li>HKD Deposit</li><li>Cheque Deposit</li></ul>,,
