id,name,address,lat,lng,tel,fax
1,Management and Administration,"Shanghai Commercial Bank Tower, 12 Queen&acute;s Road Central, Hong Kong",22.280499,114.157612,2841 5415,2810 4623
2,Central Head Office,"Lobby Floor, Shanghai Commercial Bank Tower, 12 Queen&acute;s Road Central, Hong Kong",22.280499,114.157612,2841 5222,2521 8056
3,Central Head Office,"Lobby Floor, Shanghai Commercial Bank Tower, 12 Queen&acute;s Road Central, Hong Kong",22.280499,114.157612,2841 5222,2521 8056
4,Central Head Office,"Lobby Floor, Shanghai Commercial Bank Tower, 12 Queen&acute;s Road Central, Hong Kong",22.280499,114.157612,2841 5222,2521 8056
5,Central Head Office,"Lobby Floor, Shanghai Commercial Bank Tower, 12 Queen&acute;s Road Central, Hong Kong",22.280499,114.157612,2841 5222,2521 8056
6,Central Head Office,"3rd Floor, Shanghai Commercial Bank Tower, 12 Queen&acute;s Road Central, Hong Kong",22.280499,114.157612,2841 5222,2521 8056
7,Central Head Office,"3rd Floor, Shanghai Commercial Bank Tower, 12 Queen&acute;s Road Central, Hong Kong",22.280499,114.157612,2841 5222,2521 8056
8,Aberdeen Branch,"118 Aberdeen Main Road, Aberdeen",22.247439,114.156023,2553 9218,2873 4025
9,Aberdeen Branch,"118 Aberdeen Main Road, Aberdeen",22.247439,114.156023,2553 9218,2873 4025
10,Aberdeen Branch,"118 Aberdeen Main Road, Aberdeen",22.247439,114.156023,2553 9218,2873 4025
11,Causeway Bay Branch,"18 Pennington Street, Causeway Bay",22.278362,114.186219,2576 4377,2577 7949
12,Causeway Bay Branch,"18 Pennington Street, Causeway Bay",22.278362,114.186219,2576 4377,2577 7949
13,Causeway Bay Branch,"18 Pennington Street, Causeway Bay",22.278362,114.186219,2576 4377,2577 7949
14,Causeway Bay Branch,"18 Pennington Street, Causeway Bay",22.278362,114.186219,2576 4377,2577 7949
15,Connaught Road Branch,"G/F & 1/F Southland Building, 48 Connaught Road Central, Central, Hong Kong",22.284955,114.156061,2232 9788,2310 8310
16,Connaught Road Branch,"G/F & 1/F Southland Building, 48 Connaught Road Central, Central, Hong Kong",22.284955,114.156061,2232 9788,2310 8310
17,Connaught Road Branch,"G/F & 1/F Southland Building, 48 Connaught Road Central, Central, Hong Kong",22.284955,114.156061,2232 9788,2310 8310
18,Connaught Road Branch,"G/F & 1/F Southland Building, 48 Connaught Road Central, Central, Hong Kong",22.284955,114.156061,2232 9788,2310 8310
19,Connaught Road Branch,"G/F & 1/F Southland Building, 48 Connaught Road Central, Central, Hong Kong",22.284955,114.156061,2232 9788,2310 8310
20,Connaught Road Branch,"G/F & 1/F Southland Building, 48 Connaught Road Central, Central, Hong Kong",22.284955,114.156061,2232 9788,2310 8310
21,Hennessy Road Branch,"Shop LG16, C. C. Wu Building, 302 Hennessy Road, Wanchai",22.277834,114.177829,2574 3234,2838 4065
22,Hennessy Road Branch,"Shop LG16, C. C. Wu Building, 302 Hennessy Road, Wanchai",22.277834,114.177829,2574 3234,2838 4065
23,Hennessy Road Branch,"Shop LG16, C. C. Wu Building, 302 Hennessy Road, Wanchai",22.277834,114.177829,2574 3234,2838 4065
24,North Point Branch,"486 King&acute;s Road, North Point",22.291181,114.201556,2563 2271,2565 9080
25,North Point Branch,"486 King&acute;s Road, North Point",22.291181,114.201556,2563 2271,2565 9080
26,President Theatre Branch,"Shop A, G/F., 517 Jaffe Road, Causeway Bay",22.281314,114.183475,2576 6077,2577 1703
27,President Theatre Branch,"Shop A, G/F., 517 Jaffe Road, Causeway Bay",22.281314,114.183475,2576 6077,2577 1703
28,President Theatre Branch,"Shop A, G/F., 517 Jaffe Road, Causeway Bay",22.281314,114.183475,2576 6077,2577 1703
29,President Theatre Branch,"Shop A, G/F., 517 Jaffe Road, Causeway Bay",22.281314,114.183475,2576 6077,2577 1703
30,Shaukiwan Branch,"136 Shaukiwan Main Street East, Shaukiwan",22.277514,114.229859,2568 5163,2885 1507
31,Shaukiwan Branch,"136 Shaukiwan Main Street East, Shaukiwan",22.277514,114.229859,2568 5163,2885 1507
32,Shaukiwan Branch,"136 Shaukiwan Main Street East, Shaukiwan",22.277514,114.229859,2568 5163,2885 1507
33,Sheung Wan Branch,"G/F., 41-47 Jervois Street, Sheung Wan",22.285075,114.151644,2545 8738,2544 8384
34,Sheung Wan Branch,"G/F., 41-47 Jervois Street, Sheung Wan",22.285075,114.151644,2545 8738,2544 8384
35,Sheung Wan Branch,"G/F., 41-47 Jervois Street, Sheung Wan",22.285075,114.151644,2545 8738,2544 8384
36,Siu Sai Wan Branch,"Shop 9, G/F., Harmony Garden, 9 Siu Sai Wan Road, Chai Wan",22.26578,114.24858,2897 6366,2896 2009
37,Siu Sai Wan Branch,"Shop 9, G/F., Harmony Garden, 9 Siu Sai Wan Road, Chai Wan",22.26578,114.24858,2897 6366,2896 2009
38,Siu Sai Wan Branch,"Shop 9, G/F., Harmony Garden, 9 Siu Sai Wan Road, Chai Wan",22.26578,114.24858,2897 6366,2896 2009
39,Siu Sai Wan Branch,"Shop 9, G/F., Harmony Garden, 9 Siu Sai Wan Road, Chai Wan",22.26578,114.24858,2897 6366,2896 2009
40,Taikoo Shing Branch,"G502 Tai Yue Avenue, Taikoo Shing, Quarry Bay",22.286667,114.215049,2567 0304,2567 0227
41,Taikoo Shing Branch,"G502 Tai Yue Avenue, Taikoo Shing, Quarry Bay",22.286667,114.215049,2567 0304,2567 0227
42,Victoria Centre Branch,"G7 Victoria Centre, 15 Watson Road, Causeway Bay",22.287146,114.190519,2571 7266,2806 8547
43,Victoria Centre Branch,"G7 Victoria Centre, 15 Watson Road, Causeway Bay",22.287146,114.190519,2571 7266,2806 8547
44,Victoria Centre Branch,"G7 Victoria Centre, 15 Watson Road, Causeway Bay",22.287146,114.190519,2571 7266,2806 8547
45,Wanchai Branch,"19-21 Hennessy Road, Wanchai",22.277951,114.16978,2527 2556,2865 4785
46,Wanchai Branch,"19-21 Hennessy Road, Wanchai",22.277951,114.16978,2527 2556,2865 4785
47,Wanchai Branch,"19-21 Hennessy Road, Wanchai",22.277951,114.16978,2527 2556,2865 4785
48,West Point Branch,"Shop 2, G/F, 57-61 Belcher’s Street, West Point, Hong Kong",22.283045,114.129688,2818 6363,2819 1179
49,West Point Branch,"Shop 2, G/F, 57-61 Belcher’s Street, West Point, Hong Kong",22.283045,114.129688,2818 6363,2819 1179
50,West Point Branch,"Shop 2, G/F, 57-61 Belcher’s Street, West Point, Hong Kong",22.283045,114.129688,2818 6363,2819 1179
51,West Point Branch,"Shop 2, G/F, 57-61 Belcher’s Street, West Point, Hong Kong",22.283045,114.129688,2818 6363,2819 1179
52,Jordan Road Branch,"Shop 2, G/F., Sino Cheer Plaza, 23 Jordan Road, Jordan",22.305524,114.170835,2722 6338,2368 0756
53,Jordan Road Branch,"Shop 2, G/F., Sino Cheer Plaza, 23 Jordan Road, Jordan",22.305524,114.170835,2722 6338,2368 0756
54,Kowloon Bay Branch,"Telford House, 16 Wang Hoi Road, Kowloon Bay",22.322702,114.21118,2759 2211,2759 6969
55,Kowloon Bay Branch,"Telford House, 16 Wang Hoi Road, Kowloon Bay",22.322702,114.21118,2759 2211,2759 6969
56,Kowloon Bay Branch,"Telford House, 16 Wang Hoi Road, Kowloon Bay",22.322702,114.21118,2759 2211,2759 6969
57,Kowloon Bay Branch,"Telford House, 16 Wang Hoi Road, Kowloon Bay",22.322702,114.21118,2759 2211,2759 6969
58,Kowloon Tong Branch,"G28 Franki Centre, 320 Junction Road, Kowloon Tong",22.339437,114.180918,2337 4232,2338 3842
59,Kowloon Tong Branch,"G28 Franki Centre, 320 Junction Road, Kowloon Tong",22.339437,114.180918,2337 4232,2338 3842
60,Kowloon Tong Branch,"G28 Franki Centre, 320 Junction Road, Kowloon Tong",22.339437,114.180918,2337 4232,2338 3842
61,Kwun Tong Branch,"57-61 Hong Ning Road, Kwun Tong",22.315485,114.223569,2389 4373,2797 8061
62,Kwun Tong Branch,"57-61 Hong Ning Road, Kwun Tong",22.315485,114.223569,2389 4373,2797 8061
63,Laichikok Branch,"Shops 5-8, G/F., Lai Kwan Court, 438 Castle Peak Road",22.340455,114.154,2785 8544,2744 8146
64,Laichikok Branch,"Shops 5-8, G/F., Lai Kwan Court, 438 Castle Peak Road",22.340455,114.154,2785 8544,2744 8146
65,Mei Foo Sun Chuen (Stage 1) Branch,"29D Broadway, Mei Foo Sun Chuen, Laichikok",22.336464,114.138293,2741 2241,2786 1980
66,Mei Foo Sun Chuen (Stage 1) Branch,"29D Broadway, Mei Foo Sun Chuen, Laichikok",22.336464,114.138293,2741 2241,2786 1980
67,Mei Foo Sun Chuen (Stage 1) Branch,"29D Broadway, Mei Foo Sun Chuen, Laichikok",22.336464,114.138293,2741 2241,2786 1980
68,Mei Foo Sun Chuen (Stage 4) Branch,"83B Broadway, Mei Foo Sun Chuen, Laichikok",22.336309,114.141064,2742 5211,2785 8379
69,Mei Foo Sun Chuen (Stage 4) Branch,"83B Broadway, Mei Foo Sun Chuen, Laichikok",22.336309,114.141064,2742 5211,2785 8379
70,Mei Foo Sun Chuen (Stage 4) Branch,"83B Broadway, Mei Foo Sun Chuen, Laichikok",22.336309,114.141064,2742 5211,2785 8379
71,Mody Road Branch,"Units 101-103, 1/F., Wing On Plaza, 62 Mody Road, Tsimshatsui East",22.296706,114.176416,2841 5366,2162 8090
72,Mody Road Branch,"Units 101-103, 1/F., Wing On Plaza, 62 Mody Road, Tsimshatsui East",22.296706,114.176416,2841 5366,2162 8090
73,Mody Road Branch,"Units 101-103, 1/F., Wing On Plaza, 62 Mody Road, Tsimshatsui East",22.296706,114.176416,2841 5366,2162 8090
74,Mody Road Branch,"Units 101-103, 1/F., Wing On Plaza, 62 Mody Road, Tsimshatsui East",22.296706,114.176416,2841 5366,2162 8090
75,Mody Road Branch,"Units 101-103, 1/F., Wing On Plaza, 62 Mody Road, Tsimshatsui East",22.296706,114.176416,2841 5366,2162 8090
76,Mongkok Branch,"666 Nathan Road, Mongkok",22.319628,114.169494,2394 0266,2398 0685
77,Mongkok Branch,"666 Nathan Road, Mongkok",22.319628,114.169494,2394 0266,2398 0685
78,Mongkok Branch,"666 Nathan Road, Mongkok",22.319628,114.169494,2394 0266,2398 0685
79,Mongkok Branch,"666 Nathan Road, Mongkok",22.319628,114.169494,2394 0266,2398 0685
80,Mongkok Branch,"666 Nathan Road, Mongkok",22.319628,114.169494,2394 0266,2398 0685
81,Mongkok Branch,"666 Nathan Road, Mongkok",22.319628,114.169494,2394 0266,2398 0685
82,Ping Shek Estate Branch,"115 Tsuen Shek House, Ping Shek Estate, Ngau Chi Wan",22.333733,114.209088,2323 4261,2327 6289
83,Ping Shek Estate Branch,"115 Tsuen Shek House, Ping Shek Estate, Ngau Chi Wan",22.333733,114.209088,2323 4261,2327 6289
84,Ping Shek Estate Branch,"115 Tsuen Shek House, Ping Shek Estate, Ngau Chi Wan",22.333733,114.209088,2323 4261,2327 6289
85,Sanpokong Branch,"28 Hong Keung Street, Sanpokong",22.335015,114.197224,2325 0241,2352 1007
86,Sanpokong Branch,"28 Hong Keung Street, Sanpokong",22.335015,114.197224,2325 0241,2352 1007
87,Sanpokong Branch,"28 Hong Keung Street, Sanpokong",22.335015,114.197224,2325 0241,2352 1007
88,Sham Shui Po Branch,"141 Cheung Sha Wan Road, Sham Shui Po",22.329254,114.164083,2381 0221,2397 2057
89,Sham Shui Po Branch,"141 Cheung Sha Wan Road, Sham Shui Po",22.329254,114.164083,2381 0221,2397 2057
90,Sham Shui Po Branch,"141 Cheung Sha Wan Road, Sham Shui Po",22.329254,114.164083,2381 0221,2397 2057
91,Tokwawan Branch,"60 Tokwawan Road, Tokwawan",22.315414,114.188673,2365 9098,2362 5344
92,Tokwawan Branch,"60 Tokwawan Road, Tokwawan",22.315414,114.188673,2365 9098,2362 5344
93,Tsimshatsui Branch,"7 Hankow Road, Tsimshatsui",22.296143,114.171209,2730 8211,2730 3367
94,Tsimshatsui Branch,"7 Hankow Road, Tsimshatsui",22.296143,114.171209,2730 8211,2730 3367
95,Tsimshatsui Branch,"7 Hankow Road, Tsimshatsui",22.296143,114.171209,2730 8211,2730 3367
96,Tsimshatsui Branch,"7 Hankow Road, Tsimshatsui",22.296143,114.171209,2730 8211,2730 3367
97,Tsimshatsui East Branch,"G27 Houston Centre, 63 Mody Road, Tsimshatsui East",22.298037,114.17689,2722 0626,2739 8584
98,Tsimshatsui East Branch,"G27 Houston Centre, 63 Mody Road, Tsimshatsui East",22.298037,114.17689,2722 0626,2739 8584
99,Waterloo Road Branch,"84K Waterloo Road, Homantin",22.319475,114.176539,2713 5211,2761 0526
100,Waterloo Road Branch,"84K Waterloo Road, Homantin",22.319475,114.176539,2713 5211,2761 0526
101,Waterloo Road Branch,"84K Waterloo Road, Homantin",22.319475,114.176539,2713 5211,2761 0526
102,Waterloo Road Branch,"84K Waterloo Road, Homantin",22.319475,114.176539,2713 5211,2761 0526
103,Whampoa Garden Branch,"Shop 9, Palm Mansions, Whampoa Garden, Site 4, Hunghom",22.303964,114.187842,2764 6833,2362 0506
104,Whampoa Garden Branch,"Shop 9, Palm Mansions, Whampoa Garden, Site 4, Hunghom",22.303964,114.187842,2764 6833,2362 0506
105,Whampoa Garden Branch,"Shop 9, Palm Mansions, Whampoa Garden, Site 4, Hunghom",22.303964,114.187842,2764 6833,2362 0506
106,Wong Tai Sin Branch,"Shop N117, 1/F., Temple Mall North, 136 Lung Cheung Road, Wong Tai Sin",22.341931,114.192335,2326 0096,2320 6636
107,Wong Tai Sin Branch,"Shop N117, 1/F., Temple Mall North, 136 Lung Cheung Road, Wong Tai Sin",22.341931,114.192335,2326 0096,2320 6636
108,Wong Tai Sin Branch,"Shop N117, 1/F., Temple Mall North, 136 Lung Cheung Road, Wong Tai Sin",22.341931,114.192335,2326 0096,2320 6636
109,Kingswood Villa Branch,"Shop G08, G/F., Phase 2, Kingswood Ginza, 18 Tin Yan Road, Tin Shui Wai",22.458081,114.00287,2446 9986,2446 4281
110,Kingswood Villa Branch,"Shop G08, G/F., Phase 2, Kingswood Ginza, 18 Tin Yan Road, Tin Shui Wai",22.458081,114.00287,2446 9986,2446 4281
111,Kingswood Villa Branch,"Shop G08, G/F., Phase 2, Kingswood Ginza, 18 Tin Yan Road, Tin Shui Wai",22.458081,114.00287,2446 9986,2446 4281
112,Kingswood Villa Branch,"Shop G08, G/F., Phase 2, Kingswood Ginza, 18 Tin Yan Road, Tin Shui Wai",22.458081,114.00287,2446 9986,2446 4281
113,Kwai Chung Branch,"Shop 3, Hutchison Estate, 482 Castle Peak Road, Kwai Chung",22.36821,114.134728,2429 7291,2489 2239
114,Kwai Chung Branch,"Shop 3, Hutchison Estate, 482 Castle Peak Road, Kwai Chung",22.36821,114.134728,2429 7291,2489 2239
115,Ma On Shan Branch,"Shop 308, Level 3, Ma On Shan Plaza, 608 Sai Sha Road, Ma On Shan",22.425441,114.231339,2633 8377,2633 9147
116,Ma On Shan Branch,"Shop 308, Level 3, Ma On Shan Plaza, 608 Sai Sha Road, Ma On Shan",22.425441,114.231339,2633 8377,2633 9147
117,Ma On Shan Branch,"Shop 308, Level 3, Ma On Shan Plaza, 608 Sai Sha Road, Ma On Shan",22.425441,114.231339,2633 8377,2633 9147
118,Ma On Shan Branch,"Shop 308, Level 3, Ma On Shan Plaza, 608 Sai Sha Road, Ma On Shan",22.425441,114.231339,2633 8377,2633 9147
119,Shatin Branch,"Shop 70B, Level 3, Shatin Centre, Wang Pok Street, Shatin",22.382495,114.190222,2609 3688,2695 0077
120,Shatin Branch,"Shop 70B, Level 3, Shatin Centre, Wang Pok Street, Shatin",22.382495,114.190222,2609 3688,2695 0077
121,Sheung Shui Branch,"82 San Fung Avenue, Sheung Shui",22.505289,114.126899,2639 5500,2671 3811
122,Sheung Shui Branch,"82 San Fung Avenue, Sheung Shui",22.505289,114.126899,2639 5500,2671 3811
123,Tai Po Branch,"Shop 54, Level 1, Uptown Plaza, 9 Nam Wan Road, Tai Po",22.443695,114.168702,2650 6626,2650 5313
124,Tai Po Branch,"Shop 54, Level 1, Uptown Plaza, 9 Nam Wan Road, Tai Po",22.443695,114.168702,2650 6626,2650 5313
125,Tai Po Branch,"Shop 54, Level 1, Uptown Plaza, 9 Nam Wan Road, Tai Po",22.443695,114.168702,2650 6626,2650 5313
126,Texaco Road Branch,"Shops B128-131, East Asia Commercial Centre, 36-60 Texaco Road, Tsuen Wan",22.367971,114.121944,2492 4121,2493 7560
127,Texaco Road Branch,"Shops B128-131, East Asia Commercial Centre, 36-60 Texaco Road, Tsuen Wan",22.367971,114.121944,2492 4121,2493 7560
128,Texaco Road Branch,"Shops B128-131, East Asia Commercial Centre, 36-60 Texaco Road, Tsuen Wan",22.367971,114.121944,2492 4121,2493 7560
129,Tseung Kwan O Branch,"Shops G1-2, G/F., Metro City Plaza III, The Metropolis, 8 Mau Yip Road, Tseung Kwan O",22.322366,114.256888,3194 6382,3194 6232
130,Tseung Kwan O Branch,"Shops G1-2, G/F., Metro City Plaza III, The Metropolis, 8 Mau Yip Road, Tseung Kwan O",22.322366,114.256888,3194 6382,3194 6232
131,Tseung Kwan O Branch,"Shops G1-2, G/F., Metro City Plaza III, The Metropolis, 8 Mau Yip Road, Tseung Kwan O",22.322366,114.256888,3194 6382,3194 6232
132,Tseung Kwan O Branch,"Shops G1-2, G/F., Metro City Plaza III, The Metropolis, 8 Mau Yip Road, Tseung Kwan O",22.322366,114.256888,3194 6382,3194 6232
133,Tsuen Wan Branch,"405 Castle Peak Road, Tsuen Wan",22.374575,114.112876,2492 0131,2412 1835
134,Tsuen Wan Branch,"405 Castle Peak Road, Tsuen Wan",22.374575,114.112876,2492 0131,2412 1835
135,Tsuen Wan Branch,"405 Castle Peak Road, Tsuen Wan",22.374575,114.112876,2492 0131,2412 1835
136,Tsuen Wan Branch,"405 Castle Peak Road, Tsuen Wan",22.374575,114.112876,2492 0131,2412 1835
137,Tuen Mun Branch,"Shops 1-3, G/F, Ming Wai Building, 4-26 Tuen Mun Heung Sze Wui Road, Tuen Mun",22.395478,113.974685,2430 1221,2430 1123
138,Tuen Mun Branch,"Shops 1-3, G/F, Ming Wai Building, 4-26 Tuen Mun Heung Sze Wui Road, Tuen Mun",22.395478,113.974685,2430 1221,2430 1123
139,Tung Chung Branch,"Shops 1-2, Block 5, Tung Chung Crescent, Tung Chung, Lantau",22.288823,113.940041,2403 6698,2403 6476
140,Tung Chung Branch,"Shops 1-2, Block 5, Tung Chung Crescent, Tung Chung, Lantau",22.288823,113.940041,2403 6698,2403 6476
141,Tung Chung Branch,"Shops 1-2, Block 5, Tung Chung Crescent, Tung Chung, Lantau",22.288823,113.940041,2403 6698,2403 6476
142,Tung Chung Branch,"Shops 1-2, Block 5, Tung Chung Crescent, Tung Chung, Lantau",22.288823,113.940041,2403 6698,2403 6476
143,Tung Chung Branch,"Shops 1-2, Block 5, Tung Chung Crescent, Tung Chung, Lantau",22.288823,113.940041,2403 6698,2403 6476
144,TVB Office,"2/F., Workshop Block, TVB City, 77 Chun Choi Street, Tseung Kwan O Industrial Estate",22.279438,114.272634,2719 5729,2358 1167
145,TVB Office,"2/F., Workshop Block, TVB City, 77 Chun Choi Street, Tseung Kwan O Industrial Estate",22.279438,114.272634,2719 5729,2358 1167
146,TVB Office,"2/F., Workshop Block, TVB City, 77 Chun Choi Street, Tseung Kwan O Industrial Estate",22.279438,114.272634,2719 5729,2358 1167
147,Yuen Long Branch,"17 Hong Lok Road, Yuen Long",22.443775,114.027237,2479 4175,2473 3741
148,Yuen Long Branch,"17 Hong Lok Road, Yuen Long",22.443775,114.027237,2479 4175,2473 3741
